City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,reggane,26.7158,0.1714,92.48,11.0,13.0,8.79,DZ,1683839343.0
1,waitangi,-43.9535,-176.5597,48.81,85.0,35.0,3.0,NZ,1683839587.0
2,yellowknife,62.456,-114.3525,66.56,34.0,1.0,17.0,CA,1683839623.0
3,geraldton,-28.7667,114.6,55.81,54.0,21.0,12.66,AU,1683839625.0
4,adamstown,-25.066,-130.1015,70.45,58.0,92.0,17.45,PN,1683839168.0
5,jamestown,42.097,-79.2353,74.84,33.0,0.0,9.22,US,1683839153.0
6,quebo,11.3333,-14.9333,80.51,63.0,98.0,8.86,GW,1683839626.0
7,keflavik,64.0049,-22.5624,46.83,100.0,100.0,23.02,IS,1683839240.0
8,grytviken,-54.2811,-36.5092,24.51,76.0,12.0,10.83,GS,1683839577.0
9,ushuaia,-54.8,-68.3,49.66,57.0,75.0,11.5,AR,1683839626.0
10,aasiaat,68.7098,-52.8699,28.33,76.0,100.0,7.31,GL,1683839610.0
11,puerto asis,0.5133,-76.5007,85.08,62.0,56.0,3.13,CO,1683839627.0
12,howrah,22.5892,88.3103,86.0,79.0,40.0,4.61,IN,1683839594.0
13,khandyga,62.6667,135.6,34.32,95.0,100.0,1.66,RU,1683839628.0
14,igarape miri,-1.975,-48.9597,78.87,88.0,22.0,3.58,BR,1683839628.0
15,bethel,41.3712,-73.414,81.28,33.0,75.0,6.91,US,1683839148.0
16,puerto natales,-51.7236,-72.4875,44.96,91.0,100.0,2.39,CL,1683839628.0
17,kapoeta,4.7717,33.5903,80.82,48.0,86.0,8.66,SS,1683839404.0
18,kingston,17.997,-76.7936,86.23,75.0,0.0,1.01,JM,1683839377.0
19,blackmans bay,-43.0167,147.3167,46.74,85.0,100.0,6.35,AU,1683839578.0
20,pemalang,-6.9,109.3667,78.6,83.0,77.0,4.18,ID,1683839630.0
21,fisterra,42.9049,-9.2629,57.74,74.0,2.0,17.92,ES,1683839630.0
22,kristiansund,63.1115,7.732,50.65,87.0,75.0,2.3,NO,1683839630.0
23,puerto carreno,6.189,-67.4859,88.32,53.0,69.0,3.18,CO,1683839631.0
24,ancud,-41.8697,-73.8203,55.63,90.0,100.0,9.35,CL,1683839631.0
25,ouarzazat,30.9189,-6.8934,76.93,16.0,49.0,15.52,MA,1683839631.0
26,tiksi,71.6872,128.8694,11.03,84.0,98.0,18.68,RU,1683839632.0
